Country Name,Export Value 2013,Import Value 2013,Export Value 2014,Import Value 2014,Export Value 2015,Import Value 2015,Export Value 2016,Import Value 2016,Export Value 2017,Import Value 2017,Export Value 2018,Import Value 2018,Export Value 2019,Import Value 2019,Export Value 2020,Import Value 2020,Export Value 2021,Import Value 2021,Export Value 2022,Import Value 2022,Export Value 2023,Import Value 2023,Export Value Total,Import Value Total
Ethiopia,93782,24802,154710,55220,113395,55434,96901,53497,113982,61976,104921,54448,92323,57224,111239,64800,140337,80600,62988,127436,80274,119120,1164852,754557
Turkmenistan,141189,126,192987,156,182162,31,361773,92,130923,51,19822,116,13111,10,69000,5,8833,31,8543,35,16927,3,1145270,656
Estonia,151920,164728,123855,344349,61967,111662,62133,67350,78406,79348,93495,80508,90687,64222,111061,91829,116063,72511,98055,73498,101251,73791,1088893,1223796
British Virgin Islands,506311,1831,496671,1284,4450,271,19582,314,2354,0,4750,0,1327,0,,,,,2921,1,3632,8,1041998,3709
Trinidad and Tobago,98470,409342,111563,175497,105623,116533,97392,132184,119165,199390,90852,302285,85668,243262,52250,120372,49214,336164,59535,322473,64496,199863,934228,2557365
New Caledonia,38309,201357,196494,180073,202918,162718,85475,240320,91066,287638,141398,342480,50206,250913,20775,257448,24343,342073,35463,436724,27598,387892,914045,3089636
Latvia,109013,39741,111036,55851,85961,59624,62704,72149,66341,79668,66461,85670,70077,129231,59941,98321,74902,122921,51791,92238,77652,89381,835879,924795
Palestinian Liberation Organization,82135,1081,92676,1103,110490,570,90296,1202,102167,1807,69336,1806,48963,1752,39951,946,62578,1406,78256,1725,54370,1513,831218,14911
Other Countries,54289,93240,83576,58049,34609,338100,33279,365214,84368,826503,51674,2196839,54316,2326881,68051,3080893,126402,3445408,82095,6437290,71419,2195632,744078,21364049
French Polynesia,227205,355,47210,122,38970,154,72331,210,117661,185,22016,788,21483,910,34089,843,21991,1093,59842,1196,52096,972,714894,6828
Cameroon,43558,9905,47879,5625,30811,42696,23843,2931,27252,58329,47061,2668,22804,37878,32281,55885,97993,74543,225930,165740,62225,3319,661637,459519
Haiti,29784,13107,39105,2619,46684,4242,51977,2322,74226,1800,86866,3838,60149,4112,64866,3432,85035,3750,60502,2743,42307,2207,641501,44172
Bolivia,51106,290260,129701,299418,90337,244670,66339,393905,65707,432195,48969,589217,30434,450576,23244,289733,33384,434332,45682,624929,34797,472477,619700,4521712
Democratic Republic of the Congo,39583,221462,25711,261311,26548,301564,22873,479201,19706,598379,37133,642816,37083,411274,45837,443176,68658,850027,98339,942206,184419,716966,605890,5868382
Djibouti,63356,6,58051,127,53761,93,78246,576,83246,269,50999,491,36171,7087,69202,4730,36228,2626,39190,25,30819,0,599269,16030
Belarus,71372,29654,40955,44894,47026,46940,28469,37163,28645,44613,32559,44769,47696,55934,54573,40885,69612,82434,37540,14257,64795,4959,523242,446502
Afghanistan,63840,142,58758,28,39601,63,43306,18,74647,295,93415,35,49930,38,29868,1038,25389,2185,19139,711,25079,1045,522972,5598
Tajikistan,44299,187,48499,2814,20274,3974,17804,5157,15936,6450,23817,1,29021,5,46074,341,51494,45,92676,368,115013,174,504907,19516
Macau,29343,5003,158250,3994,70783,3050,38496,4404,40354,5752,37238,4914,30871,4223,21100,2967,30319,651,18515,1523,19619,3767,494888,40248
Iceland,25102,28701,31351,26475,30829,29405,34906,28005,45092,26650,37497,18662,98415,17189,28754,13854,52920,17876,44939,19884,63534,23707,493339,250408
Cuba,57839,9730,55819,12172,51535,5671,42139,5717,70780,2964,59158,6648,42167,4549,21111,9700,22396,3969,13810,7086,35679,6823,472433,75029
Madagascar,120210,75552,26256,123132,24386,85585,31415,71540,61851,78231,28352,87371,29985,116531,33640,54785,39705,15965,35730,116894,36847,221854,468377,1047440
Mauritius,46914,6369,49992,5462,37618,4620,29478,5364,31468,4673,52755,5975,44715,6616,34480,9179,33314,5825,43628,6460,49113,7552,453475,68095
Guinea,51635,180027,41049,739714,33111,29806,101576,64892,31196,61150,26060,53627,27439,53352,26517,76905,52604,59072,33884,53134,21935,45581,447006,1417260
Gibraltar,,,2064,39317,27373,13864,1769,7,,,2034,10,121298,6,66839,6,,,,,208010,7,429387,53217
Nepal,17013,1537,20033,2883,25623,1912,25508,1786,34484,1907,35038,2038,48199,2921,59714,2425,85356,3813,36985,4726,30563,5361,418516,31309
Samoa,7489,867,33328,504,32236,787,29775,809,31771,272,35670,1819,36495,2950,46462,1248,32374,2069,37418,1690,40772,197,363790,13212
Albania,16336,6774,14403,2486,16683,1928,25219,5167,11773,4662,17671,3008,20744,3357,22937,4638,33995,21067,37739,47925,142311,11053,359811,112065
Benin,41888,11032,63407,5053,38459,10779,26319,23348,42075,27704,38643,56695,37689,15074,7755,259,16044,316,19579,15,22830,450,354688,150725
Burkina Faso,27408,806,24330,6344,22078,7011,23188,2510,29676,606,29445,419,31108,4460,35464,4612,43627,483,35964,1233,41756,5688,344044,34172
Aruba,21413,165,179230,111124,19695,56200,17950,5,16571,14874,14807,2935,10396,1,3070,83864,11612,93314,24954,15,21005,121,340703,362618
French Réunion and Comoros,19135,41,27173,255,20158,23,19762,8,26267,32,34197,127,24958,104,24866,77,50166,130,42904,181,48087,14,337673,992
Jamaica,25553,4516,22877,9954,19038,9652,21772,3259,26128,3914,36397,3311,34692,3806,19759,2839,29863,2825,43751,3243,47911,1792,327741,49111
Monaco,80495,2011,241956,1461,,,,,,,,,,,,,,,,,,,322451,3472
Micronesia,21322,2400,49974,5047,46412,701,52913,903,51017,1083,14967,2822,6762,1150,7458,226,8138,623,12034,395,43968,377,314965,15727
Mali,32622,65,13336,143,12694,5346,21886,40,28529,153,38187,1281,22518,4472,27277,1205,27333,3190,22397,4180,24300,449,271079,20524
Guyana,27246,1210,22895,1345,16581,2119,22878,988,17636,2925,23448,927,13395,1152,19872,1462,25704,834,27331,647,33869,24,250855,13633
Rwanda,13192,648,19493,1490,17176,754,20070,1471,71801,1911,10650,2391,12504,2601,15805,1805,30912,1911,16296,2636,14292,1688,242191,19306
Zambia,26949,264269,26148,367404,30938,346843,16649,290178,19013,184629,26241,108344,16087,54542,17619,15164,28356,100606,14068,82198,15459,53867,237527,1868044
